"Rows from: systek_raw_rows","id","company_key","name","domain","clean_domain","orgnr","proff_url","profit_before_tax","turnover","industry","company_size","location","created_at","updated_at"
,,"atea.no","Atea AS","http://www.atea.no","atea.no","920 237 126","https://www.proff.no/selskap/atea-asa-avd-bergen/laksev%C3%A5g/-/833384392","NOK 856 000 (2024)","NOK 84 000 (2024)","Elektronikk- og telekommunikasjonsutstyr - engros , Grossister","0","5160 Laksevåg","2025-11-28 09:39:58.16+00",
,,"skuld.com","Skuld","www.skuld.com","skuld.com","926 129 201","https://www.proff.no/selskap/skuld-as/oslo/-/IFBE5V50000","NOK 62 (2024)","NOK 0 (2024)","Investerings- og konsulentselskap","0","Oslo","2025-11-26 09:39:57.78+00",
,,"varner.com","Varner","https://varner.com/","varner.com","979 490 674","https://www.proff.no/selskap/varner-as/billingstad/kl%C3%A6r/IG75VUA08XE","NOK 31,270,000 (2024)","NOK 823,204,000 (2024)","Klær / Butikkhandel / Detaljhandel","422","1396 Billingstad","2025-11-26 09:39:57.78+00",
,,"lds.no","Lovisenberg Diakonale Sykehus","http://www.lds.no","lds.no","965 985 166","https://www.proff.no/selskap/lovisenberg-diakonale-sykehus-as/oslo/sykehus/IFZ4EXA10KZ","","No data","Hospital","1711","Lovisenberggt. 17, 0440 Oslo","2025-11-26 09:39:57.78+00",
,,"timtrainee.no","Trainee i Molderegionen (TiM)","https://timtrainee.no/","timtrainee.no","970 895 159","https://www.proff.no/selskap/molde-n%C3%A6ringsforum/molde/medlemsorganisasjoner/IG21NHZ10PU","NOK 176 (amounts in 1000 NOK) (2024)","NOK 9 960 (amounts in 1000 NOK) (2024)","Medlemsorganisasjoner","5","6413 Molde","2025-11-28 09:39:58.16+00",
,,"svanemerket.no","Svanemerket","https://www.svanemerket.no","svanemerket.no","971 279 362","https://www.proff.no/selskap/stiftelsen-milj%C3%B8merking-i-norge/oslo/medlemsorganisasjoner/IG29VYA10PU","NOK −1 424 (2024)","NOK 58 166 (2024)","Medlemsorganisasjoner","38","Henrik Ibsens gate 20, 0255 Oslo","2025-12-02 09:39:57.938+00",
,,"avarnsecurity.no","Avarn Security AS","https://www.avarnsecurity.no/","avarnsecurity.no","943 184 097","https://www.proff.no/selskap/avarn-security-as/oslo/vaktselskaper/IFLJPI901TJ","NOK 82 931 (2024)","NOK 2 385 168 (2024)","Vaktselskaper; Privat etterforskning; Medlemsorganisasjoner","3384","Alf Bjerckes Vei 1, 0582 Oslo","2025-11-26 09:39:57.78+00",
,,"gehealthcare.no","GE HEALTHCARE AS","gehealthcare.no","gehealthcare.no","914 829 674","https://www.proff.no/selskap/ge-healthcare-as/-/-/914829674","NOK 3 630 205 (2024)","NOK 13 741 113 (2024)","Apotek og farmasøytiske varer / Produksjon av farmasøytiske råvarer og preparater","1138","Forskningsparken, Gaustadalleen 21, 0349 Oslo","2025-12-02 09:39:57.938+00",
,,"oda.com","Oda","oda.com","oda.com","912 262 510","https://www.proff.no/selskap/oda-norway-as/oslo/posttjenester/IF34Y9A04HN","","No data","Posttjenester","0","Oslo","2025-11-26 09:39:57.78+00",
,,"theac.no","The Assessment Company AS","https://theac.no","theac.no","","","","","","0","Lihauggata 8B, 6002 Ålesund","2025-11-28 09:39:58.16+00",
,,"rir.no","Romsdalshalvøya Interkommunale Renovasjonsselskap IKS","https://www.rir.no","rir.no","","","","","","0","Årøsetervegen 56, 6422 Molde","2025-11-28 09:39:58.16+00",
,,"eaton.com","Eaton Electric AS","https://www.eaton.com/no/no-no.html","eaton.com","","","","","","0","Ryensvingen 5-7, 0680 Oslo","2025-12-10 09:39:58.263+00",
,,"accountor.no","Økonomisenteret Voss AS","accountor.no","accountor.no","984 058 993","https://www.proff.no/selskap/accountor-voss-%C3%B8konomisenteret-voss-as/voss/regnskapstjenester/IG9VSS101D0","NOK 3,192,000 (2024)","NOK 19,282,000 (2024)","Regnskapsføring og bokføring","23","Voss","2025-11-27 09:39:58.028+00",
,,"forsvaret.no","Forsvaret","forsvaret.no","forsvaret.no","986105174","https://www.proff.no/selskap/forsvaret/-/-/986105174","","No data","No data","0","Drammensveien 175, 0277 Oslo","2025-11-26 09:39:57.78+00",
,,"norconsult.no","Norconsult","http://www.norconsult.no","norconsult.no","962392687","https://www.proff.no/selskap/norconsult-norge-as-hovedkontor/sandvika/bygningstjenester/IG3D0X807TQ","472 361 (in 1000 NOK) for 2024","6 589 762 (in 1000 NOK) for 2024","Byggeteknisk konsulentvirksomhet","1582","Kjørboveien 22, 1337 Sandvika","2025-11-28 09:39:58.16+00",
,,"lekekassen.no","Lekekassen","https://lekekassen.no","lekekassen.no","","","","","","0","Østerskogen, 4879 Grimstad","2025-11-26 09:39:57.78+00",
,,"jysk.no","JYSK","jysk.no","jysk.no","","","","","","0","Brugata 1, 2500 Tynset","2025-11-26 09:39:57.78+00",
,,"nammo.com","Nammo Raufoss AS","https://www.nammo.com/","nammo.com","980 038 300","https://www.proff.no/selskap/nammo-raufoss-as/raufoss/v%C3%A5pen-og-ammunisjon-produksjon/IG7HME410LG","","No data","Produksjon av våpen og ammunisjon","1489","Enggata 37, 2830 Raufoss","2025-11-26 09:39:57.78+00",
,,"ditio.app","Om Ditio","https://ditio.app/","ditio.app","915 062 350","https://www.proff.no/selskap/ditio-as/bergen/it-konsulenter-og-r%C3%A5dgivning/IF4SYMM03DC","NOK -2,649,000 (2024)","NOK 23,501,000 (2024)","Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av IT-systemer","13","Edvard Griegs vei 3E, 5059 Bergen","2025-11-29 09:39:57.963+00",
